four,second,therefore,until,example,series,needed,result,best,and,much,life,had,has,people,for,support,time,such,so,feature,take,where,many,s,being,around,world,with,an,as,at,having,to,large,small,more,states,information,its,found,number,also,set,see,be,by,into,up,great,next,high,this,books,could,system,should,become,society,work,after,then,them,they,standard,another,do,the,way,was,usually,can,still,non,not,now,year,that,than,only,between,these,early,using,t,since,very,family,a,less,during,while,used,some,within,similar,e,following,including,times,based,years,written,both,i,well,even,new,first,before,one,modern,seen,said,three,near,is,it,in,if,make,just,form,may,main,earlier,long,were,show,according,those,different,same,problems,again,children,published,two,through,late,part,most,find,point,development,often,others,named,have,like,although,about,but,under,would,must,end,over,each,free,though,however,been,several,no,when,term,name,she,place,given,any,later,without,on,of,or,there,all,what,known,rather,his,him,are,became,called,include,developed,use,from,few,instead,out,their,which,who,he,will,book,because,own,made,other
0,1,1,0,0,6,2,3,0,70,1,1,19,0,0,25,2,6,3,5,0,2,2,1,41,0,1,2,20,11,20,32,0,90,0,1,2,0,0,3,5,3,7,2,1,9,19,0,5,0,2,1,5,1,7,0,1,0,5,21,10,0,4,3,0,3,3,134,0,46,0,3,0,1,8,5,7,30,2,4,0,6,1,1,1,1,0,3,87,1,2,2,1,11,1,0,5,0,0,0,1,1,2,2,16,1,3,1,10,4,10,0,1,2,7,2,9,9,83,3,3,1,0,0,0,1,0,12,0,0,0,0,1,2,5,1,2,4,0,1,0,5,0,2,0,1,1,3,12,3,3,1,10,3,4,1,2,3,2,1,0,3,6,1,3,4,0,0,0,1,2,4,7,2,21,80,4,1,3,2,3,1,66,12,0,0,1,0,2,0,10,1,0,0,3,5,12,68,2,4,1,5,2,3
0,0,0,1,0,0,0,0,0,7,0,1,1,1,0,5,0,0,1,0,1,0,1,0,0,0,0,0,3,1,4,1,0,4,0,0,0,0,0,0,0,0,3,0,0,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,9,0,0,1,3,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,5,1,1,0,0,4,0,0,40,1,0,7,2,2,6,1,2,4,0,0,3,1,3,11,3,4,2,18,6,16,13,0,55,1,1,4,0,3,0,1,2,3,0,0,16,13,2,1,1,1,2,5,3,4,0,5,0,0,1,0,1,2,8,0,0,0,97,1,15,0,7,0,1,10,0,0,39,2,8,3,3,1,5,0,2,1,1,41,2,1,7,4,18,0,0,0,1,0,0,0,1,0,1,0,0,5,0,1,1,6,0,0,0,1,0,25,16,21,0,0,0,1,1,1,0,0,6,1,1,1,5,2,0,2,0,0,1,2,1,0,2,0,2,0,1,4,1,4,0,0,3,5,0,2,1,0,3,1,0,1,1,5,2,2,1,1,0,5,0,1,1,1,3,19,52,10,1,5,0,0,0,5,1,6,0,1,1,2,3,5,0,3,2,7,5,2,2,3,5,3,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,1,0,10,0,0,0,1,0,6,0,0,1,0,0,0,0,1,1,0,0,1,1,5,9,4,0,16,0,0,1,0,1,0,1,2,2,1,0,3,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,25,0,1,1,1,0,0,0,0,0,6,1,1,0,0,2,1,0,0,1,0,12,0,0,1,3,2,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,1,0,10,0,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,22,4,1,1,1,0,0,5,0,2,0,0,1,1,3,1,0,0,1,4,2,3,3,1,0,0,0,0,2
0,2,0,2,1,2,1,2,0,85,2,2,13,15,1,12,0,52,1,0,1,0,5,2,21,3,3,9,28,15,44,5,2,58,3,5,6,1,1,2,0,1,5,1,0,5,21,12,2,1,0,0,16,2,1,0,0,2,3,4,4,4,2,3,0,1,3,219,0,23,0,2,3,2,1,1,2,23,3,3,1,1,1,4,1,0,3,0,63,1,2,1,3,2,1,1,1,1,1,1,1,5,1,1,0,3,1,7,7,7,5,0,2,1,6,2,27,12,55,2,2,2,3,1,1,1,2,1,1,0,0,0,2,3,1,1,6,4,4,0,1,0,2,0,0,1,0,3,11,4,1,4,6,0,4,1,3,1,0,0,1,2,3,0,15,0,1,3,0,0,0,1,3,1,21,75,10,8,5,3,1,0,29,10,5,3,0,1,0,1,12,3,2,1,8,6,9,43,3,8,0,4,3,3
1,2,0,0,0,1,0,0,1,31,0,0,0,3,0,11,0,0,0,0,0,0,1,0,14,0,0,1,9,3,6,3,0,10,1,3,0,0,0,0,0,0,2,4,0,2,8,0,0,0,2,0,1,0,0,0,1,0,0,2,1,1,0,1,0,0,0,74,2,14,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,6,5,1,1,1,0,0,2,2,6,5,34,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,5,29,1,0,0,0,1,0,8,3,3,1,0,1,0,1,3,0,1,0,0,0,1,11,0,0,0,0,0,0
0,1,2,0,1,0,0,2,1,19,0,0,1,4,0,11,0,0,7,0,1,0,0,3,3,0,0,0,9,5,17,1,0,42,0,0,1,4,4,1,0,1,4,0,0,5,6,2,0,0,0,1,5,0,1,3,0,0,0,0,0,0,1,5,0,0,1,47,0,2,1,6,1,1,5,0,0,15,1,0,3,0,1,0,0,0,0,0,29,1,0,0,3,4,2,1,41,0,0,0,0,0,0,1,1,1,1,2,1,1,3,0,0,0,0,0,18,8,15,4,1,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,5,1,0,0,3,0,1,1,0,0,2,0,0,2,0,2,1,3,1,0,1,0,1,3,0,1,8,29,9,0,0,1,2,0,0,0,2,0,0,2,1,5,1,0,0,3,8,4,0,1,4,0,0,1,0,1
0,1,0,1,1,0,0,2,0,66,0,0,10,1,2,16,1,6,5,3,0,2,0,0,9,1,1,1,12,13,18,6,1,67,1,0,2,2,0,7,0,1,3,0,0,5,15,3,1,4,1,0,12,0,1,1,0,0,1,1,9,3,0,2,0,2,0,215,2,44,0,2,0,0,6,0,0,35,0,0,5,1,3,1,0,3,3,3,51,0,6,0,1,4,0,0,0,0,1,2,0,8,0,3,0,0,2,5,9,2,2,1,0,2,0,0,7,4,59,2,2,4,0,3,0,0,0,3,0,7,1,0,1,0,2,0,0,1,3,1,3,5,0,0,0,1,1,0,7,0,4,1,7,2,5,1,1,2,1,1,1,4,6,1,1,3,1,2,1,0,0,1,2,4,15,113,4,1,6,0,1,0,28,6,2,5,0,1,0,0,8,1,1,0,3,14,5,27,0,0,2,1,2,6
0,4,0,4,0,0,0,0,0,76,0,2,13,2,12,13,0,6,2,3,0,1,2,2,15,5,1,0,25,5,23,20,1,64,0,0,0,4,0,8,3,0,4,3,1,6,27,6,1,3,2,2,2,2,1,0,2,0,0,2,11,2,7,5,0,1,0,339,1,57,0,0,1,0,2,0,1,21,0,0,3,3,0,1,3,0,0,1,38,0,4,3,2,6,2,0,2,1,1,2,0,2,1,2,2,1,2,1,3,11,9,1,2,1,1,1,23,30,66,0,0,1,0,0,0,1,2,19,0,5,1,1,0,0,5,1,0,12,0,0,2,1,1,1,0,0,1,1,5,0,0,0,4,1,0,0,2,6,3,0,1,0,3,2,3,15,0,1,0,6,4,4,3,0,14,139,9,6,3,0,1,0,18,4,3,0,2,1,0,1,15,0,1,3,9,4,5,11,2,3,4,1,6,0
2,0,0,1,0,1,0,0,3,54,3,3,4,13,5,32,1,6,2,7,0,6,3,1,25,3,2,1,14,16,24,16,2,78,0,2,7,1,0,7,0,0,4,5,3,12,20,2,4,0,1,0,8,0,3,0,4,1,0,1,4,5,8,20,2,2,7,183,1,20,6,9,3,1,9,4,2,15,5,5,0,6,0,1,1,5,0,0,63,1,2,0,4,3,3,2,0,1,0,3,2,1,1,3,0,0,2,2,2,2,8,0,1,0,1,2,37,19,60,14,1,1,1,5,4,0,3,4,2,5,2,1,2,1,2,18,1,4,0,2,2,4,1,0,2,4,2,1,14,1,5,1,3,0,0,3,0,2,2,4,0,3,7,0,4,2,1,4,0,1,3,5,1,1,14,63,23,12,3,3,0,2,3,0,32,1,2,2,0,0,7,1,2,5,19,11,7,3,3,3,2,5,4,3
